MET file converted from FVCOM file2014_12Kmwrf.dat
KT = coef of heat exchange (watts/m2/C) (not used), TE = equil temp (C) (not used)
 IO = PAR (E/m2/day), FD=Fraction of day, and WS = wind speed (m/s)
    JDAY    KT      TE      IO      FD      WS  
 121.500  14.940  23.030  42.911   0.578   4.923
 122.500  14.940  23.030  43.648   0.577   6.301
 123.500  14.940  23.030  36.336   0.578   7.963
 124.500  14.940  23.030  60.397   0.579   3.411
 125.500  14.940  23.030  64.607   0.580   3.063
 126.500  14.940  23.030  64.469   0.581   3.055
 127.500  14.940  23.030  25.560   0.582   5.308
 128.500  14.940  23.030  51.330   0.582   5.336
 129.500  14.940  23.030  58.652   0.583   2.999
 130.500  14.940  23.030  66.573   0.583   2.844
 131.500  14.940  23.030  66.674   0.583   2.611
 132.500  14.940  23.030  66.686   0.583   3.085
 133.500  14.940  23.030  65.747   0.583   3.715
 134.500  14.940  23.030  46.427   0.583   4.124
 135.500  14.940  23.030  53.085   0.583   4.911
 136.500  14.940  23.030  61.927   0.583   1.791
 137.500  14.940  23.030  66.244   0.587   1.921
 138.500  14.940  23.030  68.340   0.590   3.486
 139.500  14.940  23.030  68.321   0.594   3.380
 140.500  14.940  23.030  66.352   0.597   2.372
 141.500  14.940  23.030  53.112   0.600   1.945
 142.500  14.940  23.030  43.963   0.604   3.659
 143.500  14.940  23.030  49.160   0.607   2.785
 144.500  14.940  23.030  53.453   0.613   1.991
 145.500  14.940  23.030  68.876   0.619   2.019
 146.500  14.940  23.030  67.567   0.625   2.442
 147.500  14.940  23.030  57.871   0.631   3.385
 148.500  14.940  23.030  63.312   0.637   3.545
 149.500  14.940  23.030  71.684   0.643   5.080
 150.500  14.940  23.030  70.809   0.649   2.849
 151.500  14.940  23.030  71.152   0.651   3.393
 152.500  14.940  23.030  71.620   0.654   3.290
 153.500  14.940  23.030  71.229   0.656   3.888
 154.500  14.940  23.030  71.633   0.659   2.808
 155.500  14.940  23.030  72.957   0.662   3.302
 156.500  14.940  23.030  72.872   0.664   4.157
 157.500  14.940  23.030  67.647   0.667   2.562
 158.500  14.940  23.030  58.495   0.662   2.525
 159.500  14.940  23.030  72.949   0.656   3.872
 160.500  14.940  23.030  71.687   0.651   3.007
 161.500  14.940  23.030  59.338   0.646   2.821
 162.500  14.940  23.030  40.500   0.641   3.388
 163.500  14.940  23.030  28.103   0.636   4.370
 164.500  14.940  23.030  47.480   0.631   3.209
 165.500  14.940  23.030  44.485   0.635   3.221
 166.500  14.940  23.030  71.612   0.639   2.172
 167.500  14.940  23.030  72.353   0.644   3.253
 168.500  14.940  23.030  67.555   0.648   3.011
 169.500  14.940  23.030  67.814   0.652   3.855
 170.500  14.940  23.030  49.967   0.656   3.133
 171.500  14.940  23.030  73.087   0.661   3.625
 172.500  14.940  23.030  68.030   0.661   3.434
 173.500  14.940  23.030  63.337   0.661   2.544
 174.500  14.940  23.030  70.387   0.661   2.592
 175.500  14.940  23.030  57.604   0.661   3.320
 176.500  14.940  23.030  62.505   0.661   3.362
 177.500  14.940  23.030  48.721   0.661   5.558
 178.500  14.940  23.030  69.063   0.661   5.872
 179.500  14.940  23.030  44.205   0.661   3.376
 180.500  14.940  23.030  72.106   0.661   4.449
 181.500  14.940  23.030  68.365   0.661   4.643
 182.500  14.940  23.030  63.069   0.661   3.075
 183.500  14.940  23.030  48.977   0.661   2.316
 184.500  14.940  23.030  49.972   0.661   2.558
 185.500  14.940  23.030  59.201   0.661   2.376
 186.500  14.940  23.030  69.060   0.658   2.746
 187.500  14.940  23.030  66.681   0.656   4.141
 188.500  14.940  23.030  71.136   0.653   4.209
 189.500  14.940  23.030  70.870   0.651   3.077
 190.500  14.940  23.030  71.469   0.648   2.625
 191.500  14.940  23.030  71.255   0.645   3.360
 192.500  14.940  23.030  67.945   0.643   2.604
 193.500  14.940  23.030  45.410   0.639   3.258
 194.500  14.940  23.030  67.178   0.634   2.351
 195.500  14.940  23.030  69.946   0.630   2.288
 196.500  14.940  23.030  68.618   0.626   3.120
 197.500  14.940  23.030  68.854   0.622   2.870
 198.500  14.940  23.030  64.240   0.617   2.495
 199.500  14.940  23.030  41.271   0.613   4.295
 200.500  14.940  23.030  17.836   0.609   1.780
 201.500  14.940  23.030  68.084   0.605   2.543
 202.500  14.940  23.030  67.543   0.600   2.248
 203.500  14.940  23.030  23.652   0.596   5.742
 204.500  14.940  23.030  52.792   0.592   3.026
 205.500  14.940  23.030  66.451   0.588   2.552
 206.500  14.940  23.030  66.507   0.583   3.109
 207.500  14.940  23.030  66.130   0.583   4.783
 208.500  14.940  23.030  66.351   0.583   4.527
 209.500  14.940  23.030  65.869   0.583   3.877
 210.500  14.940  23.030  65.425   0.583   3.508
 211.500  14.940  23.030  65.382   0.583   4.111
 212.500  14.940  23.030  54.913   0.583   3.163
 213.500  14.940  23.030  64.064   0.583   3.175
 214.500  14.940  23.030  64.011   0.582   3.264
 215.500  14.940  23.030  64.644   0.582   3.599
 216.500  14.940  23.030  63.160   0.581   2.657
 217.500  14.940  23.030  45.235   0.580   2.473
 218.500  14.940  23.030  61.087   0.579   2.771
 219.500  14.940  23.030  61.068   0.578   2.835
 220.500  14.940  23.030  60.382   0.577   3.441
 221.500  14.940  23.030  62.069   0.578   4.798
 222.500  14.940  23.030  58.315   0.579   3.618
 223.500  14.940  23.030  50.125   0.580   2.738
 224.500  14.940  23.030  27.125   0.581   4.310
 225.500  14.940  23.030  46.361   0.582   2.171
 226.500  14.940  23.030  52.789   0.582   2.292
 227.500  14.940  23.030  56.384   0.583   2.208
 228.500  14.940  23.030  56.947   0.581   3.090
 229.500  14.940  23.030  57.178   0.578   3.997
 230.500  14.940  23.030  39.511   0.576   3.132
 231.500  14.940  23.030  54.819   0.573   3.354
 232.500  14.940  23.030  56.119   0.571   3.848
 233.500  14.940  23.030  55.122   0.568   2.451
 234.500  14.940  23.030  55.276   0.565   1.985
 235.500  14.940  23.030  54.634   0.560   3.068
 236.500  14.940  23.030  53.606   0.554   3.515
 237.500  14.940  23.030  52.506   0.548   2.685
 238.500  14.940  23.030  51.262   0.542   2.326
 239.500  14.940  23.030  47.453   0.536   2.162
 240.500  14.940  23.030  10.987   0.530   1.858
 241.500  14.940  23.030  15.826   0.524   2.849
 242.500  14.940  23.030  45.091   0.520   3.042
 243.500  14.940  23.030  31.472   0.517   2.465
 244.500  14.940  23.030  33.222   0.514   2.887
 245.500  14.940  23.030  50.529   0.510   2.432
 246.500  14.940  23.030  50.329   0.507   4.310
 247.500  14.940  23.030  49.940   0.503   4.632
 248.500  14.940  23.030  49.672   0.500   4.130
 249.500  14.940  23.030  48.996   0.500   2.223
 250.500  14.940  23.030  30.684   0.500   2.768
 251.500  14.940  23.030  41.852   0.500   2.510
 252.500  14.940  23.030  47.361   0.500   5.649
 253.500  14.940  23.030  48.206   0.500   3.729
 254.500  14.940  23.030  47.363   0.500   5.592
 255.500  14.940  23.030  46.432   0.500   4.160
 256.500  14.940  23.030  45.779   0.499   3.420
 257.500  14.940  23.030  44.956   0.498   2.005
 258.500  14.940  23.030  38.943   0.497   2.720
 259.500  14.940  23.030  28.716   0.497   2.004
 260.500  14.940  23.030   8.711   0.496   1.391
 261.500  14.940  23.030  26.892   0.495   2.712
 262.500  14.940  23.030  41.417   0.494   4.498
 263.500  14.940  23.030  40.386   0.494   4.171
 264.500  14.940  23.030  35.811   0.494   4.710
 265.500  14.940  23.030  19.842   0.494   4.550
 266.500  14.940  23.030  26.863   0.494   4.862
 267.500  14.940  23.030  36.319   0.494   3.905
 268.500  14.940  23.030  13.140   0.494   4.860
 269.500  14.940  23.030  37.830   0.494   3.892
 270.500  14.940  23.030  37.624   0.486   3.804
 271.500  14.940  23.030  24.011   0.479   3.826
 272.500  14.940  23.030  36.260   0.471   2.262
 273.500  14.940  23.030  32.168   0.463   3.218
 274.500  14.940  23.030  35.280   0.456   2.004
 275.500  14.940  23.030  31.339   0.448   1.632
 276.500  14.940  23.030  23.286   0.440   1.859
 277.500  14.940  23.030  33.247   0.437   2.381
 278.500  14.940  23.030  32.122   0.434   2.094
 279.500  14.940  23.030  31.997   0.430   3.212
 280.500  14.940  23.030  22.509   0.427   1.432
 281.500  14.940  23.030  23.098   0.423   1.953
 282.500  14.940  23.030  25.244   0.420   6.246
 283.500  14.940  23.030  29.868   0.417   2.640
