 4.13209827e+005 4.91609154e+006  4.43929110e+001 
 4.00581392e+005 4.91657343e+006  4.43956257e+001 
 3.90430064e+005 4.91645648e+006  4.43931091e+001 
 3.80630000e+005 4.91833000e+006  4.44084223e+001 
 3.75680000e+005 4.92514000e+006  4.44688758e+001 
 3.71747051e+005 4.93448489e+006  4.45522845e+001 
 3.72380000e+005 4.94802000e+006  4.46741991e+001 
 3.72590000e+005 4.95936000e+006  4.47762829e+001 
 3.72790000e+005 4.97111000e+006  4.48820525e+001 
 3.73210000e+005 4.98307000e+006  4.49897492e+001 
 3.73540714e+005 4.99589811e+006  4.51052396e+001 
 3.73620000e+005 5.00864000e+006  4.52199068e+001 
 3.74240000e+005 5.02183000e+006  4.53387008e+001 
 3.73620000e+005 5.03338000e+006  4.54425131e+001 
 3.72790000e+005 5.04389000e+006  4.55369264e+001 
 3.71938409e+005 5.05543866e+006  4.56406770e+001 
 3.71113670e+005 5.06695173e+006  4.57441082e+001 
 3.71116930e+005 5.07857016e+006  4.58486385e+001 
 3.70320000e+005 5.08925000e+006  4.59445720e+001 
 3.69700000e+005 5.09853000e+006  4.60279420e+001 
 3.68260000e+005 5.10925000e+006  4.61241061e+001 
 3.67070000e+005 5.11640000e+006  4.61881969e+001 
 3.65940000e+005 5.12514000e+006  4.62665990e+001 
 3.64750000e+005 5.13284000e+006  4.63356294e+001 
 3.63570000e+005 5.14380000e+006  4.64339825e+001 
 3.60610000e+005 5.15742000e+006  4.65558902e+001 
 3.57940000e+005 5.17104000e+006  4.66778384e+001 
 3.55870000e+005 5.18200000e+006  4.67759736e+001 
 3.51970000e+005 5.19894000e+006  4.69274750e+001 
 3.49500000e+005 5.21069000e+006  4.70325922e+001 
 3.45210000e+005 5.22554000e+006  4.71651464e+001 
 3.38390000e+005 5.24834000e+006  4.73685268e+001 
 3.33360000e+005 5.26433000e+006  4.75110357e+001 
 3.28920000e+005 5.27618000e+006  4.76164236e+001 
 3.24600000e+005 5.29060000e+006  4.77449073e+001 
 3.18260000e+005 5.30669000e+006  4.78877917e+001 
 3.10940000e+005 5.32017000e+006  4.80068422e+001 
 3.04930000e+005 5.33067000e+006  4.80994075e+001 
 2.99300000e+005 5.34015000e+006  4.81828557e+001 
 2.92490000e+005 5.34933000e+006  4.82631609e+001 
 2.84200000e+005 5.36177000e+006  4.83721660e+001 
 2.76500000e+005 5.37391000e+006  4.84785525e+001 
 2.67610000e+005 5.38635000e+006  4.85870761e+001 
 2.59810000e+005 5.39851000e+006  4.86933509e+001 
 2.51150000e+005 5.41130000e+006  4.88048169e+001 
 2.43730000e+005 5.42057000e+006  4.88850399e+001 
 2.36510000e+005 5.43006000e+006  4.89672153e+001 
 2.29680412e+005 5.43924039e+006  4.90466787e+001 
 2.19194798e+005 5.45231176e+006  4.91593111e+001 
