Tidal harmonics S2 M2 N2 K2 K1 P1 O1 Q1 M4 M6 (amplitudes are in cm)
      26.8       98.3       20.3        5.6       39.8       14.2       23.5        4.1        0.1        0.2
      22.0       -8.5      -46.4      165.2      104.7      127.0      119.5       98.8      271.9       21.3
      32    1.18
      27.0       98.6       20.3        5.7       40.1       14.2       23.4        4.1        0.1        0.1
      22.6       -7.9      -45.8      165.8      104.7      127.0      119.4       98.9      273.8       21.6
      33    1.18
      27.0       98.8       20.4        5.7       40.3       14.3       23.4        4.1        0.1        0.1
      23.1       -7.5      -45.4      166.3      104.8      127.1      119.4       98.9      275.2       21.5
      34    1.18
      27.1       99.0       20.4        5.7       40.4       14.3       23.5        4.1        0.1        0.1
      23.5       -7.2      -45.0      166.7      105.0      127.3      119.4       99.0      276.6       21.3
      35    1.18
      27.2       99.1       20.4        5.7       40.5       14.4       23.7        4.1        0.1        0.1
      23.9       -6.8      -44.6      167.1      105.2      127.5      119.5       99.1      278.0       20.2
      36    1.18
      27.3       99.1       20.4        5.7       40.6       14.4       23.8        4.1        0.1        0.1
      24.4       -6.4      -44.1      167.5      105.5      127.9      119.8       99.3      280.0       15.8
      37    1.18
      27.3       99.1       20.4        5.7       40.7       14.5       23.9        4.2        0.1        0.1
      24.8       -6.0      -43.8      167.9      105.8      128.2      120.2       99.6      281.6        9.3
      38    1.18
      27.4       99.1       20.4        5.7       40.8       14.5       24.0        4.2        0.1        0.1
      25.1       -5.8      -43.5      168.2      106.1      128.5      120.7      100.0      282.4        7.2
      39    1.18
      27.4       99.1       20.4        5.7       40.7       14.5       23.9        4.2        0.1        0.1
      25.4       -5.6      -43.3      168.4      106.5      128.8      121.3      100.6      284.1        1.6
      40    1.18
      27.4       99.2       20.4        5.7       40.7       14.5       23.8        4.2        0.1        0.1
      25.6       -5.5      -43.2      168.6      106.4      128.8      121.3      100.7      284.5      359.2
      41    1.18
      27.6       99.4       20.5        5.8       40.8       14.5       23.7        4.1        0.1        0.1
      25.9       -5.2      -42.9      168.9      106.6      129.0      121.4      101.0      285.4        0.2
      42    1.18
      27.7       99.8       20.5        5.8       40.9       14.5       23.8        4.1        0.1        0.1
      26.2       -5.0      -42.6      169.2      107.0      129.4      121.4      100.9      287.1      359.4
      43    1.18
      27.8      100.1       20.6        5.8       41.2       14.6       24.0        4.1        0.1        0.1
      26.7       -4.6      -42.3      169.7      107.7      130.0      121.6      100.9      287.1        5.4
      44    1.18
      28.0      100.5       20.7        5.9       41.0       14.5       24.1        4.2        0.1        0.1
      27.0       -4.3      -42.0      170.1      108.4      130.6      122.4      101.4      286.4        6.7
      45    1.18
      28.1      100.8       20.7        5.9       40.8       14.5       24.0        4.2        0.1        0.1
      27.4       -3.9      -41.6      170.5      108.6      130.8      122.9      102.0      285.1        7.7
      46    1.18
      28.2      101.1       20.8        5.9       40.5       14.4       23.7        4.1        0.1        0.1
      27.8       -3.6      -41.3      170.9      108.8      131.0      123.2      102.5      284.4        9.7
      47    1.18
      28.3      101.3       20.8        5.9       40.5       14.4       23.7        4.1        0.1        0.1
      28.2       -3.3      -41.0      171.3      108.8      130.9      123.1      102.5      284.2       10.9
      48    1.18
      28.4      101.5       20.9        6.0       40.5       14.4       23.7        4.1        0.1        0.1
      28.5       -3.0      -40.6      171.7      109.0      131.1      123.1      102.5      284.1       11.9
      49    1.18
      28.6      101.8       20.9        6.0       40.2       14.3       23.8        4.1        0.1        0.1
      29.1       -2.4      -40.1      172.3      109.2      131.3      123.2      102.3      285.1       13.8
      50    1.18
      28.7      102.0       21.0        6.0       40.1       14.3       23.9        4.2        0.1        0.1
      29.6       -2.0      -39.7      172.7      109.1      131.4      123.6      102.6      286.2       14.8
      51    1.18
      28.8      102.2       21.0        6.0       40.0       14.3       23.7        4.2        0.1        0.1
      29.9       -1.7      -39.4      173.0      108.8      131.2      123.9      103.1      287.5       15.4
      52    1.18
      28.8      102.3       21.0        6.1       40.0       14.3       23.5        4.1        0.1        0.1
      30.2       -1.5      -39.1      173.4      108.5      130.9      124.0      103.5      287.1       16.0
      53    1.18
      28.9      102.5       21.0        6.1       40.4       14.4       23.4        4.1        0.1        0.1
      30.6       -1.1      -38.8      173.7      108.1      130.6      123.4      103.0      285.3       16.6
      54    1.18
      29.0      102.6       21.1        6.1       40.7       14.5       23.6        4.1        0.1        0.1
      30.8       -0.9      -38.5      174.0      108.4      130.9      123.2      102.5      285.2       16.9
      55    1.18
      29.1      102.7       21.1        6.1       40.9       14.5       23.9        4.2        0.1        0.1
      31.2       -0.6      -38.2      174.3      109.0      131.4      123.7      102.8      285.3       17.3
      56    1.18
      29.1      102.9       21.1        6.1       41.0       14.6       23.9        4.2        0.1        0.1
